Quiz 1,Mid sem,Quiz 2,End sem
11,13,12,40
7,6.5,2.5,23
9.5,12,8.5,29
10,9.5,10,34
8.5,15.5,10,33
6.5,12,11,30
4,7,7.5,22
10.25,10,11,39
7.75,11.5,9.5,17.5
9,10,8,26
6.5,8,7,21.5
8,10,12.5,34.5
8.25,11.5,11,43
13.5,9,9.5,30
6,3,12,19
11.75,10.5,11.5,36.5
8.5,13.5,8.5,36.5
13.5,19.5,11.5,44
2.75,10,6,11
12.75,16,13.5,43
7.25,15,6.5,11
9,11,8,33
11.5,13,5,8
9,20,7.5,31
1,5.5,6,15
9.5,11,2,2
8,11,7,30.5
5.75,5.5,10,40
7.75,10.5,8,20
10.5,15,14,38.5
9,16.5,9,40
8.75,7,5,18.5
8.5,6.5,8,31
2,6,4,8
3.25,13.5,10.5,40
7.5,18,9,24.5
8.5,12.5,9,23
8,14.5,13.5,41
9.5,8,6,21
7,12.5,11.5,31.5
12,13,14,37.5
7,12,9,31
4,3,9.5,31.5
8.75,14,10.5,24
6.5,14,9.5,19
5.75,5,5,9.5
8,5.5,6.5,0
9,15.5,12.5,45
14.5,19,11,35
8.75,10.5,6,16
2,5.5,3,14
6.25,7.5,7,11
12.5,13.5,12,27
10,20.5,13,45.5
12,19,11.5,29.5
12,20,12,39
10,15.5,4,16.5
10.5,10,9,19.5
7.75,12,12,34.5
8,9,5,11.5
7.5,10.5,6,17
7,15,11,24
3,1,6,9
12,19.5,13.5,40.5
12.5,16,14,41
6.75,10,9.5,33
7.5,12.5,9,30.5
9,20,10.5,27.5
7.5,9,11,35
4.5,9,7.5,29.5
4,8.5,4.5,15
3.25,8,2.5,3
8.5,10,10.5,21
13,8,10.5,35.5
7,11.5,10,32
4.5,9.5,4,7
9,18,9.5,34.5
8.5,10,10.5,38
9,13,10.5,38
7,6.5,5.5,32
9.5,11,15,28
9,9.5,8,18
8,13.5,8.5,18
6,11,10,32
11,14,5.5,27.5
8.5,10,6.5,18
12.5,13.5,13,43.5
8,11,9.5,26
11,11,8.5,30
9,8,14,38
8,8,5.5,26
8.5,7,8,13
10.5,13,8,36
2,11.5,11.5,19
3.5,2,8,7
